title,year,rating
"47 Samurai (Chûshingura) (Loyal 47 Ronin, The)",1962,7.6
Advise and Consent,1962,7.7
Birdman of Alcatraz,1962,7.8
Cape Fear,1962,7.7
Carnival of Souls,1962,7.0
Cleo from 5 to 7 (Cléo de 5 à 7),1962,7.8
"Counterfeit Traitor, The",1962,7.5
Damn the Defiant! (H.M.S. Defiant),1962,7.1
"Day of the Triffids, The",1962,7.0
Days of Wine and Roses,1962,7.8
"Doulos, Le",1962,7.7
Dr. No,1962,7.2
Experiment in Terror,1962,7.3
"Exterminating Angel, The (Ángel exterminador, El)",1962,8.0
Gigot,1962,7.1
Girls! Girls! Girls!,1962,8.5
Gypsy,1962,7.1
Hatari!,1962,7.1
How the West Was Won,1962,7.1
Knife in the Water (Nóz w wodzie),1962,7.4
Lawrence of Arabia,1962,8.3
Lolita,1962,7.5
Lonely Are the Brave,1962,7.6
Long Day's Journey Into Night,1962,7.5
"Longest Day, The",1962,7.7
Mafioso,1962,7.6
Mamma Roma,1962,7.8
"Man Who Shot Liberty Valance, The",1962,8.1
"Manchurian Candidate, The",1962,7.9
"Music Man, The",1962,7.7
Mutiny on the Bounty,1962,7.2
Requiem for a Heavyweight,1962,7.8
Ride the High Country,1962,7.4
Sanjuro (Tsubaki Sanjûrô),1962,8.0
Sundays and Cybele (Les dimanches de Ville d'Avray),1962,7.8
To Kill a Mockingbird,1962,8.3
"Trial, The (Procès, Le)",1962,7.8
Vivre sa vie: Film en douze tableaux (My Life to Live),1962,7.8
What Ever Happened to Baby Jane?,1962,8.0
"Birds, The",1963,7.6
Charade,1963,7.8
"Child Is Waiting, A",1963,7.2
Cleopatra,1963,7.0
From Russia with Love,1963,7.3
"Great Escape, The",1963,8.2
"Haunting, The",1963,7.4
Hud,1963,7.8
"Incredible Journey, The",1963,7.0
Irma la Douce,1963,7.3
"It's a Mad, Mad, Mad, Mad World",1963,7.5
Jason and the Argonauts,1963,7.3
Lilies of the Field,1963,7.5
McLintock!,1963,7.1
Murder at the Gallop,1963,7.2
"Pink Panther, The",1963,7.0
"Servant, The",1963,7.8
Shock Corridor,1963,7.3
"Silence, The (Tystnaden)",1963,7.0
Spencer's Mountain,1963,7.0
"Sword in the Stone, The",1963,7.1
This Sporting Life,1963,7.5
"Americanization of Emily, The",1964,7.3
Band of Outsiders (Bande à part),1964,7.6
Becket,1964,7.8
"Best Man, The",1964,7.6
"Comedy of Terrors, The",1964,7.8
Culloden (The Battle of Culloden),1964,7.8
Dead Ringer,1964,7.2
"Diary of a Chambermaid (Journal d'une femme de chambre, Le)",1964,7.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3
Fail-Safe,1964,8.0
Father Goose,1964,7.3
"Fistful of Dollars, A (Per un pugno di dollari)",1964,7.9
Goldfinger,1964,7.7
"Hard Day's Night, A",1964,7.5
"Hush... Hush, Sweet Charlotte",1964,7.5
Kwaidan (Kaidan),1964,7.9
Marnie,1964,7.1
Marriage Italian Style (Matrimonio all'italiana),1964,7.4
Mary Poppins,1964,7.8
My Fair Lady,1964,7.7
"Naked Kiss, The",1964,7.2
"Night of the Iguana, The",1964,7.6
Onibaba,1964,7.9
"Pawnbroker, The",1964,7.6
"Rudolph, the Red-Nosed Reindeer",1964,8.0
Seance on a Wet Afternoon,1964,7.6
Seven Days in May,1964,7.8
Seven Up!,1964,7.9
"Shot in the Dark, A",1964,7.3
"Train, The",1964,7.8
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,7.8
Zatoichi and the Chest of Gold (Zatôichi senryô-kubi) (Zatôichi 6),1964,7.3
Zorba the Greek (Alexis Zorbas),1964,7.6
Zulu,1964,7.7
36 Hours,1965,7.3
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution)",1965,7.0
"Bedford Incident, The",1965,7.3
"Bonheur, Le",1965,7.6
"Charlie Brown Christmas, A",1965,8.3
"Cincinnati Kid, The",1965,7.2
"Collector, The",1965,7.5
Darling,1965,7.0
Doctor Zhivago,1965,7.9
"Fists in the Pocket (Pugni in tasca, I)",1965,7.6
"Flight of the Phoenix, The",1965,7.5
"Great Race, The",1965,7.2
Help!,1965,7.1
"Ipcress File, The",1965,7.2
Juliet of the Spirits (Giulietta degli spiriti),1965,7.5
King Rat,1965,7.5
Loves of a Blonde (Lásky jedné plavovlásky),1965,7.5
Mirage,1965,7.2
Operation 'Y' & Other Shurik's Adventures,1965,8.5
"Patch of Blue, A",1965,8.0
Pierrot le fou,1965,7.4
Repulsion,1965,7.6
Shenandoah,1965,7.3
Ship of Fools,1965,7.1
Simon of the Desert (Simón del desierto),1965,7.8
Sons of Katie Elder,1965,7.1
"Sound of Music, The",1965,8.1
"Spy Who Came in from the Cold, The",1965,7.5
Those Magnificent Men in Their Flying Machines,1965,7.0
"Thousand Clowns, A",1965,7.3
Von Ryan's Express,1965,7.1
Alfie,1966,7.0
Au Hasard Balthazar,1966,7.7
Batman,1966,7.5
"Battle of Algiers, The (La battaglia di Algeri)",1966,8.1
Blow-Up (Blowup),1966,7.4
"Blue Max, The",1966,7.1
Cul-de-sac,1966,7.0
Django,1966,7.2
El Dorado,1966,7.5
"Endless Summer, The",1966,7.6
Fahrenheit 451,1966,7.2
"Fortune Cookie, The",1966,7.2
Gambit,1966,7.0
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",1966,8.8
How the Grinch Stole Christmas!,1966,8.3
How to Steal a Million,1966,7.5
"It's the Great Pumpkin, Charlie Brown",1966,8.1
King of Hearts,1966,7.3
"Man and a Woman, A (Un homme et une femme)",1966,7.5
"Man for All Seasons, A",1966,7.7
Marat/Sade,1966,7.5
Masculin Féminin,1966,7.4
Persona,1966,8.1
"Professionals, The",1966,7.3
"Russians Are Coming, the Russians Are Coming, The",1966,7.0
"Sand Pebbles, The",1966,7.5
Seconds,1966,7.6
"Sword of Doom, The (Dai-bosatsu tôge)",1966,7.9
Tokyo Drifter (Tôkyô nagaremono),1966,7.1
"Trouble with Angels, The",1966,7.3
"War Is Over, The (Guerre est finie, La)",1966,7.3
Who's Afraid of Virginia Woolf?,1966,8.0
Barefoot in the Park,1967,7.0
Beauty of the Day (Belle de jour),1967,7.6
Bonnie and Clyde,1967,7.7
"Collector, The (La collectionneuse)",1967,7.3
Cool Hand Luke,1967,8.1
"Dirty Dozen, The",1967,7.7
Don't Look Back,1967,7.9
Far from the Madding Crowd,1967,7.2
"Firemen's Ball, The (Horí, má panenko)",1967,7.4
"Graduate, The",1967,8.0
Guess Who's Coming to Dinner,1967,7.8
Hombre,1967,7.4
How to Succeed in Business Without Really Trying,1967,7.2
In Cold Blood,1967,7.9
In the Heat of the Night,1967,7.9
"Jungle Book, The",1967,7.6
Mouchette,1967,7.7
Play Time (a.k.a. Playtime),1967,7.8
Point Blank,1967,7.3
Quatermass and the Pit,1967,7.0
Samurai Rebellion (Jôi-uchi: Hairyô tsuma shimatsu),1967,8.3
"Taming of the Shrew, The",1967,7.1
To Sir with Love,1967,7.6
Two for the Road,1967,7.4
"Two of Us, The (Le vieil homme et l'enfant)",1967,7.6
Up the Down Staircase,1967,7.3
Wait Until Dark,1967,7.7
2001: A Space Odyssey,1968,8.3
"Boston Strangler, The",1968,7.1
Bullitt,1968,7.4
Faces,1968,7.4
Funny Girl,1968,7.4
Hang 'Em High,1968,7.0
Hell in the Pacific,1968,7.3
Hour of the Wolf (Vargtimmen),1968,7.5
If....,1968,7.4
"Killing of Sister George, The",1968,7.0
"Lion in Winter, The",1968,7.9
Monterey Pop,1968,8.0
Night of the Living Dead,1968,7.8
"Odd Couple, The",1968,7.6
Oliver!,1968,7.4
Once Upon a Time in the West (C'era una volta il West),1968,8.5
"Party, The",1968,7.4
Planet of the Apes,1968,8.0
Pretty Poison,1968,7.0
Rosemary's Baby,1968,8.0
Where Eagles Dare,1968,7.6
Winnie the Pooh and the Blustery Day,1968,7.9
Yellow Submarine,1968,7.4
"Yours, Mine and Ours",1968,7.1
Anne of the Thousand Days,1969,7.4
Army of Shadows (L'armée des ombres),1969,8.1
Burn! (Queimada),1969,7.1
Butch Cassidy and the Sundance Kid,1969,8.0
Easy Rider,1969,7.2
"Hello, Dolly!",1969,7.0
"Italian Job, The",1969,7.2
Kes,1969,7.9
Medium Cool,1969,7.2
Midnight Cowboy,1969,7.8
Oh! What a Lovely War,1969,7.0
"Prime of Miss Jean Brodie, The",1969,7.6
"Secret of Santa Vittoria, The",1969,7.3
"Sicilian Clan, The (Clan des Siciliens, Le)",1969,7.4
"Sorrow and the Pity, The (Le chagrin et la pitié)",1969,8.2
Support Your Local Sheriff!,1969,7.4
Take the Money and Run,1969,7.2
"They Shoot Horses, Don't They?",1969,7.8
True Grit,1969,7.4
"Wild Bunch, The",1969,7.9
Women in Love,1969,7.1
Z,1969,8.2
7 Plus Seven,1970,7.9
"Aristocats, The",1970,7.1
"Ballad of Cable Hogue, The",1970,7.2
"Boys in the Band, The",1970,7.6
Catch-22,1970,7.1
"Cercle Rouge, Le (Red Circle, The)",1970,7.9
"Claire's Knee (Genou de Claire, Le)",1970,7.5
"Conformist, The (Conformista, Il)",1970,7.9
Cromwell,1970,7.0
Five Easy Pieces,1970,7.4
"Garden of the Finzi-Continis, The (Giardino dei Finzi-Contini, Il)",1970,7.3
Gimme Shelter,1970,7.8
Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto),1970,8.0
Kelly's Heroes,1970,7.6
Little Big Man,1970,7.5
M*A*S*H (a.k.a. MASH),1970,7.4
"Out of Towners, The",1970,7.0
Patton,1970,7.9
"Private Life of Sherlock Holmes, The",1970,7.0
"Railway Children, The",1970,7.3
"Topo, El",1970,7.2
Tora! Tora! Tora!,1970,7.5
Tristana,1970,7.4
Two Mules for Sister Sara,1970,7.0
Woodstock,1970,8.1
"Abominable Dr. Phibes, The",1971,7.0
"Andromeda Strain, The",1971,7.2
Bedknobs and Broomsticks,1971,7.0
"Beguiled, The",1971,7.2
"Cat in the Hat, The",1971,7.2
"Clockwork Orange, A",1971,8.3
Dirty Harry,1971,7.7
Duel,1971,7.6
Fiddler on the Roof,1971,8.0
"French Connection, The",1971,7.7
Get Carter,1971,7.3
Harold and Maude,1971,7.9
"Hospital, The",1971,7.1
Johnny Got His Gun,1971,7.8
Jude the Obscure,1971,7.7
Klute,1971,7.1
"Last Picture Show, The",1971,8.0
Lawman,1971,7.0
"Macbeth (a.k.a. Tragedy of Macbeth, The)",1971,7.1
"Mary, Queen of Scots",1971,7.1
McCabe & Mrs. Miller,1971,7.6
Monty Python's And Now for Something Completely Different,1971,7.5
Murmur of the Heart (Le souffle au coeur),1971,7.5
Nicholas and Alexandra,1971,7.2
On Any Sunday,1971,7.7
Straw Dogs,1971,7.4
Summer of '42,1971,7.2
Sunday Bloody Sunday,1971,7.0
Taking Off,1971,7.4
The Devils,1971,7.8
They Call Me Trinity,1971,7.4
"Touch of Zen, A (Xia nu)",1971,7.5
Two English Girls (Les deux anglaises et le continent),1971,7.2
Wake in Fright,1971,7.6
Walkabout,1971,7.6
Willy Wonka & the Chocolate Factory,1971,7.8
1776,1972,7.6
Across 110th Street,1972,7.0
"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes)",1972,7.8
Avanti!,1972,7.2
Blaise Pascal,1972,7.0
Butterflies Are Free,1972,7.2
Cabaret,1972,7.8
"Candidate, The",1972,7.0
"Cowboys, The",1972,7.4
Cries and Whispers (Viskningar och rop),1972,8.0
Deliverance,1972,7.7
Dirty Money (Un flic),1972,7.0
"Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le)",1972,7.8
"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The",1972,7.4
Fat City,1972,7.3
Fellini's Roma (Roma),1972,7.3
Frenzy,1972,7.4
"Getaway, The",1972,7.3
"Godfather, The",1972,9.2
"Heartbreak Kid, The",1972,7.0
Images,1972,7.1
Jeremiah Johnson,1972,7.6
Lady Sings the Blues,1972,7.0
Marjoe,1972,7.4
"Play It Again, Sam",1972,7.6
"Poseidon Adventure, The",1972,7.1
"Ruling Class, The",1972,7.2
Sleuth,1972,8.0
Solaris (Solyaris),1972,7.9
Sounder,1972,7.5
State of Siege (État de siège),1972,7.7
The Tall Blond Man with One Black Shoe,1972,7.2
"What's Up, Doc?",1972,7.7
Amarcord,1973,7.8
American Graffiti,1973,7.4
Badlands,1973,7.7
Blow-Out (La grande bouffe),1973,7.1
Breezy,1973,7.0
Charley Varrick,1973,7.5
Day for Night (La Nuit Américaine),1973,8.0
"Day of the Jackal, The",1973,7.8
Don't Look Now,1973,7.1
Electra Glide in Blue,1973,7.0
Enter the Dragon,1973,7.6
"Exorcist, The",1973,8.1
"Fantastic Planet, The (Planète sauvage, La)",1973,7.7
"Friends of Eddie Coyle, The",1973,7.4
High Plains Drifter,1973,7.4
"Holy Mountain, The (Montaña sagrada, La)",1973,7.8
Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu),1973,8.2
Jesus Christ Superstar,1973,7.4
"Last Detail, The",1973,7.5
"Last of Sheila, The",1973,7.2
"Long Goodbye, The",1973,7.5
Mean Streets,1973,7.2
O Lucky Man!,1973,7.6
"Paper Chase, The",1973,7.2
Paper Moon,1973,8.1
Papillon,1973,8.0
Pat Garrett and Billy the Kid,1973,7.2
Robin Hood,1973,7.5
Scarecrow,1973,7.2
Serpico,1973,7.7
Sleeper,1973,7.1
Soylent Green,1973,7.0
"Spirit of the Beehive, The (Espíritu de la colmena, El)",1973,7.8
"Sting, The",1973,8.3
Theatre of Blood,1973,7.1
"Three Musketeers, The",1973,7.1
"Way We Were, The",1973,7.0
"Wicker Man, The",1973,7.5
Alice Doesn't Live Here Anymore,1974,7.3
Black Christmas,1974,7.1
Blazing Saddles,1974,7.7
Bring Me the Head of Alfredo Garcia,1974,7.4
California Split,1974,7.1
Chinatown,1974,8.1
"Conversation, The",1974,7.7
"Enigma of Kaspar Hauser, The (a.k.a. Mystery of Kaspar Hauser, The) (Jeder für sich und Gott Gegen Alle)",1974,7.7
"Front Page, The",1974,7.3
"Gambler, The",1974,7.1
"Godfather: Part II, The",1974,9.0
Hearts and Minds,1974,8.2
Italianamerican,1974,7.6
Lacombe Lucien,1974,7.6
Lenny,1974,7.5
"Longest Yard, The",1974,7.1
Murder on the Orient Express,1974,7.2
"Odessa File, The",1974,7.0
"Parallax View, The",1974,7.1
"Phantom of Liberty, The (Fantôme de la liberté, Le)",1974,7.8
Phantom of the Paradise,1974,7.3
"Taking of Pelham One Two Three, The",1974,7.6
"Texas Chainsaw Massacre, The",1974,7.4
That's Entertainment,1974,7.8
Thunderbolt and Lightfoot,1974,7.0
"Towering Inferno, The",1974,7.0
We All Loved Each Other So Much (C'eravamo tanto amati),1974,8.0
"Woman Under the Influence, A",1974,8.0
Young Frankenstein,1974,8.0
Barry Lyndon,1975,8.1
Dersu Uzala,1975,8.2
Dog Day Afternoon,1975,8.0
"Farewell, My Lovely",1975,7.0
Hard Times,1975,7.2
Hester Street,1975,7.0
Jaws,1975,8.1
"Lost Honor of Katharina Blum, The (Verlorene Ehre der Katharina Blum oder: Wie Gewalt entstehen und wohin sie führen kann, Die)",1975,7.3
Love and Death,1975,7.5
"Magic Flute, The (Trollflöjten)",1975,7.5
"Man Who Would Be King, The",1975,7.8
"Man in the Glass Booth, The",1975,7.0
Master of the Flying Guillotine (Du bi quan wang da po xue di zi),1975,7.4
Monty Python and the Holy Grail,1975,8.2
Nashville,1975,7.6
Night Moves,1975,7.1
One Flew Over the Cuckoo's Nest,1975,8.7
Overlord,1975,7.1
Picnic at Hanging Rock,1975,7.4
Pinchcliffe Grand Prix (Flåklypa Grand Prix),1975,8.4
"Return of the Pink Panther, The",1975,7.0
"Rocky Horror Picture Show, The",1975,7.4
"Story of Adele H., The (Histoire d'Adèle H., L')",1975,7.2
"Sunshine Boys, The",1975,7.1
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto),1975,7.5
Three Days of the Condor (3 Days of the Condor),1975,7.4
"Yakuza, The",1975,7.0
All the President's Men,1976,7.9
Assault on Precinct 13,1976,7.3
"Bad News Bears, The",1976,7.3
Bound for Glory,1976,7.2
Carrie,1976,7.4
Fellini's Casanova (Il Casanova di Federico Fellini),1976,7.0
"Front, The",1976,7.3
Harlan County U.S.A.,1976,8.2
"House with Laughing Windows, The (Casa dalle finestre che ridono, La)",1976,7.0
"Innocent, The (Innocente, L')",1976,7.4
Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000),1976,7.5
"Killing of a Chinese Bookie, The",1976,7.3
"Little Girl Who Lives Down the Lane, The",1976,7.0
Marathon Man,1976,7.4
Murder by Death,1976,7.3
"Next Stop, Greenwich Village",1976,7.0
"Omen, The",1976,7.5
"Outlaw Josey Wales, The",1976,7.8
"Pink Panther Strikes Again, The",1976,7.1
Rocky,1976,8.1
Seven Beauties (Pasqualino Settebellezze),1976,7.7
"Shootist, The",1976,7.6
Taxi Driver,1976,8.2
"That's Entertainment, Part II",1976,7.3
21 Up,1977,8.1
3 Women (Three Women),1977,7.7
Allegro non troppo,1977,7.4
"American Friend, The (Amerikanische Freund, Der)",1977,7.4
Annie Hall,1977,8.0
"Bridge Too Far, A",1977,7.4
Close Encounters of the Third Kind,1977,7.6
Cross of Iron,1977,7.4
Desperate Living,1977,7.0
"Duellists, The",1977,7.4
Equus,1977,7.1
Eraserhead,1977,7.3
"Goodbye Girl, The",1977,7.4
"Grateful Dead Movie, The",1977,7.9
House (Hausu),1977,7.3
Julia,1977,7.1
Madame Rosa (La vie devant soi),1977,7.2
Man of Marble (Czlowiek z Marmuru),1977,7.7
"Many Adventures of Winnie the Pooh, The",1977,7.5
Martin,1977,7.0
Pumping Iron,1977,7.3
Roots,1977,8.4
Slap Shot,1977,7.3
Smokey and the Bandit,1977,7.0
Sorcerer,1977,7.7
"Special Day, A (Giornata particolare, Una)",1977,8.1
"Spy Who Loved Me, The",1977,7.0
Star Wars: Episode IV - A New Hope,1977,8.6
Stroszek,1977,7.7
Suspiria,1977,7.3
That Obscure Object of Desire (Cet obscur objet du désir),1977,7.8
Animal House,1978,7.4
Blue Collar,1978,7.5
"Boys from Brazil, The",1978,7.0
"Buddy Holly Story, The",1978,7.2
"Cage aux Folles, La",1978,7.2
"Chant of Jimmy Blacksmith, The",1978,7.3
Coming Home,1978,7.3
Dawn of the Dead,1978,7.8
Days of Heaven,1978,7.7
Death on the Nile,1978,7.2
"Deer Hunter, The",1978,8.1
"Driver, The",1978,7.1
Five Deadly Venoms,1978,7.0
Gates of Heaven,1978,7.3
Grease,1978,7.2
Halloween,1978,7.7
Interiors,1978,7.3
Invasion of the Body Snatchers,1978,7.4
"Last Waltz, The",1978,8.1
Midnight Express,1978,7.5
"Same Time, Next Year",1978,7.2
"Silent Partner, The",1978,7.4
Superman,1978,7.4
"Unmarried Woman, An",1978,7.2
Watership Down,1978,7.6
"Wedding, A",1978,7.0
...And Justice for All,1979,7.4
Alien,1979,8.5
All That Jazz,1979,7.8
Being There,1979,7.9
Best Boy,1979,7.8
"Black Stallion, The",1979,7.4
Breaking Away,1979,7.7
"China Syndrome, The",1979,7.4
Escape from Alcatraz,1979,7.6
Going in Style,1979,7.1
"Great Santini, The",1979,7.2
Hair,1979,7.5
"In-Laws, The",1979,7.3
"Jerk, The",1979,7.1
Kramer vs. Kramer,1979,7.8
"Little Romance, A",1979,7.4
Manhattan,1979,7.8
"Muppet Movie, The",1979,7.6
My Brilliant Career,1979,7.1
Norma Rae,1979,7.3
Nosferatu the Vampyre (Nosferatu: Phantom der Nacht),1979,7.4
Quadrophenia,1979,7.2
Real Life,1979,7.0
Richard Pryor: Live in Concert,1979,8.0
Rocky II,1979,7.3
Stalker,1979,8.1
Tess,1979,7.3
Time After Time,1979,7.0
"Tin Drum, The (Blechtrommel, Die)",1979,7.5
"Tinker, Tailor, Soldier, Spy",1979,8.5
"Wanderers, The",1979,7.3
"Warriors, The",1979,7.5
Woyzeck,1979,7.0
Airplane!,1980,7.7
Atlantic City,1980,7.3
"Big Red One, The",1980,7.1
"Blues Brothers, The",1980,7.9
Breaker Morant,1980,7.8
Brubaker,1980,7.1
Caddyshack,1980,7.2
"Changeling, The",1980,7.1
Coal Miner's Daughter,1980,7.5
Cosmos,1980,9.3
Divine Madness!,1980,7.0
Dressed to Kill,1980,7.1
"Elephant Man, The",1980,8.2
Gloria,1980,7.1
"Gods Must Be Crazy, The",1980,7.3
Hopscotch,1980,7.1
Inside Moves,1980,7.0
Kagemusha,1980,7.9
"Lathe of Heaven, The",1980,7.1
"Long Good Friday, The",1980,7.6
Mon oncle d'Amérique,1980,7.6
My Bodyguard,1980,7.1
Ordinary People,1980,7.7
Raging Bull,1980,8.1
Resurrection,1980,7.1
Return of the Secaucus 7,1980,7.0
"Shining, The",1980,8.4
Shogun Assassin,1980,7.3
Star Wars: Episode V - The Empire Strikes Back,1980,8.7
Stardust Memories,1980,7.2
"Stunt Man, The",1980,7.0
"American Werewolf in London, An",1981,7.5
Blood Wedding (Bodas de sangre),1981,7.5
Blow Out,1981,7.4
Body Heat,1981,7.4
"Boot, Das (Boat, The)",1981,8.4
Chariots of Fire,1981,7.1
Christiane F. (a.k.a. We Children from Bahnhof Zoo) (Christiane F. - Wir Kinder vom Bahnhof Zoo),1981,7.5
Coup de torchon (Clean Slate),1981,7.4
"Decline of Western Civilization, The",1981,7.5
Diva,1981,7.1
Escape from New York,1981,7.1
"Evil Dead, The",1981,7.4
Excalibur,1981,7.3
Eye of the Needle,1981,7.1
"Fox and the Hound, The",1981,7.2
Gallipoli,1981,7.4
"Great Muppet Caper, The",1981,7.1
Gregory's Girl,1981,7.1
"Hitch Hikers Guide to the Galaxy, The",1981,8.0
"Looney, Looney, Looney Bugs Bunny Movie, The",1981,7.1
Man of Iron (Czlowiek z Zelaza),1981,7.3
Mephisto,1981,7.7
Modern Romance,1981,7.0
My Dinner with André,1981,7.7
On Golden Pond,1981,7.6
Pixote,1981,7.9
Polyester,1981,7.0
Possession,1981,7.3
Prince of the City,1981,7.4
"Professional, The (Le professionnel)",1981,7.4
"Quest for Fire (Guerre du feu, La)",1981,7.3
Ragtime,1981,7.3
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),1981,8.4
Reds,1981,7.3
"Road Warrior, The (Mad Max 2)",1981,7.6
Southern Comfort,1981,7.1
Teddy Bear (Mis),1981,8.2
Thief,1981,7.4
"Vernon, Florida",1981,7.0
"Atomic Cafe, The",1982,7.6
Blade Runner,1982,8.1
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",1982,7.1
"Dark Crystal, The",1982,7.1
Deathtrap,1982,7.0
Diner,1982,7.0
"Draughtsman's Contract, The",1982,7.2
E.T. the Extra-Terrestrial,1982,7.9
Experience Preferred... But Not Essential,1982,7.0
Fanny and Alexander (Fanny och Alexander),1982,8.1
Fast Times at Ridgemont High,1982,7.1
First Blood (Rambo: First Blood),1982,7.7
Fitzcarraldo,1982,8.0
"Flight of Dragons, The",1982,7.6
Frances,1982,7.2
Gandhi,1982,8.0
"Grey Fox, The",1982,7.3
"Last Unicorn, The",1982,7.3
"Man from Snowy River, The",1982,7.2
Missing,1982,7.7
Monty Python Live at the Hollywood Bowl,1982,7.8
Moonlighting,1982,7.3
My Favorite Year,1982,7.3
"Officer and a Gentleman, An",1982,7.1
Pink Floyd: The Wall,1982,8.0
"Plague Dogs, The",1982,7.7
Poltergeist,1982,7.3
"Return of Martin Guerre, The (Retour de Martin Guerre, Le)",1982,7.4
Richard Pryor Live on the Sunset Strip,1982,7.6
Santa Claus Is a Stinker (Le Père Noël est une ordure),1982,7.5
"Secret of NIMH, The",1982,7.5
Smiley's People,1982,8.5
Sophie's Choice,1982,7.5
Star Trek II: The Wrath of Khan,1982,7.7
"That Night in Varennes (Nuit de Varennes, La)",1982,7.2
"Thing, The",1982,8.2
Tootsie,1982,7.4
"Traviata, La",1982,7.6
"Verdict, The",1982,7.7
Victor/Victoria,1982,7.6
"World According to Garp, The",1982,7.1
"Year of Living Dangerously, The",1982,7.1
"4th Man, The (Fourth Man, The) (Vierde man, De)",1983,7.2
Bad Boys,1983,7.2
"Big Chill, The",1983,7.1
"Bill Cosby, Himself",1983,8.1
"Christmas Story, A",1983,7.9
"Crimson Permanent Assurance, The",1983,7.8
Danton,1983,7.4
"Day After, The",1983,7.0
"Dead Zone, The",1983,7.2
"Dresser, The",1983,7.5
Eddie Murphy Delirious,1983,8.1
Educating Rita,1983,7.2
Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance),1983,8.2
Local Hero,1983,7.3
Merry Christmas Mr. Lawrence,1983,7.2
Monty Python's The Meaning of Life,1983,7.3
National Lampoon's Vacation,1983,7.3
Never Cry Wolf,1983,7.5
"Outsiders, The",1983,7.0
Pauline at the Beach (Pauline à la Plage),1983,7.3
"Pirates of Penzance, The",1983,7.1
Richard Pryor Here and Now,1983,7.2
Rumble Fish,1983,7.1
Scarface,1983,8.3
Silkwood,1983,7.1
Smokey and the Bandit III,1983,7.0
Star Wars: Episode VI - Return of the Jedi,1983,8.3
Tender Mercies,1983,7.3
Terms of Endearment,1983,7.4
Trading Places,1983,7.5
Under Fire,1983,7.0
Videodrome,1983,7.2
WarGames,1983,7.1
Zelig,1983,7.7
1984 (Nineteen Eighty-Four),1984,7.4
Amadeus,1984,8.4
Another Country,1984,7.0
Beverly Hills Cop,1984,7.4
Birdy,1984,7.2
Blood Simple,1984,7.5
"Bounty, The",1984,7.0
Broadway Danny Rose,1984,7.4
Carmen,1984,7.4
Ghostbusters (a.k.a. Ghost Busters),1984,7.8
Gremlins,1984,7.3
"Hit, The",1984,7.0
Indiana Jones and the Temple of Doom,1984,7.5
"Karate Kid, The",1984,7.3
"Killing Fields, The",1984,7.8
"Natural, The",1984,7.4
"NeverEnding Story, The",1984,7.3
"Nightmare on Elm Street, A",1984,7.4
"Norte, El",1984,8.2
Once Upon a Time in America,1984,8.3
"Paris, Texas",1984,8.1
"Passage to India, A",1984,7.3
Places in the Heart,1984,7.4
Sixteen Candles,1984,7.0
"Soldier's Story, A",1984,7.2
Starman,1984,7.0
Stop Making Sense,1984,8.7
Stranger Than Paradise,1984,7.4
"Sunday in the Country, A (Un dimanche à la campagne)",1984,7.4
"Terminator, The",1984,8.1
This Is Spinal Tap,1984,7.9
"Times of Harvey Milk, The",1984,8.2
Top Secret!,1984,7.2
After Hours,1985,7.6
Anne of Green Gables,1985,8.5
Back to the Future,1985,8.5
Better Off Dead...,1985,7.1
Brazil,1985,7.8
"Breakfast Club, The",1985,7.8
Bring on the Night,1985,7.5
Clue,1985,7.2
"Color Purple, The",1985,7.7
Come and See (Idi i smotri),1985,8.4
Day of the Dead,1985,7.1
Desert Hearts,1985,7.1
Fright Night,1985,7.1
"Goonies, The",1985,7.7
"Journey of Natty Gann, The",1985,7.0
Kiss of the Spider Woman,1985,7.3
Lost in America,1985,7.0
Mask,1985,7.2
Mishima: A Life in Four Chapters,1985,7.9
Murphy's Romance,1985,7.0
"Official Story, The (La historia oficial)",1985,7.7
Out of Africa,1985,7.1
Pale Rider,1985,7.3
Pee-wee's Big Adventure,1985,7.0
Police Story (Ging chaat goo si),1985,7.5
"Purple Rose of Cairo, The",1985,7.7
Ran,1985,8.2
Re-Animator,1985,7.2
"Return of the Living Dead, The",1985,7.3
Runaway Train,1985,7.2
Santa Claus: The Movie,1985,7.3
Shoah,1985,8.7
Silverado,1985,7.2
"Sure Thing, The",1985,7.0
Sweet Dreams,1985,7.0
Tampopo,1985,7.9
To Live and Die in L.A.,1985,7.3
"Trip to Bountiful, The",1985,7.4
Witness,1985,7.4
'Round Midnight,1986,7.4
